date,home_team,away_team,home_score,away_score,tournament,neutral
2011-03-01,USA,Uruguay,2,3,FIFA World Cup qualification,False
2011-03-03,USA,Nigeria,1,0,FIFA World Cup qualification,False
2011-03-05,USA,Spain,0,4,FIFA World Cup qualification,False
2011-03-07,USA,Netherlands,1,0,FIFA World Cup qualification,False
2011-03-09,USA,Mexico,2,3,FIFA World Cup qualification,False
2011-03-11,USA,Germany,0,0,FIFA World Cup qualification,False
2011-03-13,USA,Japan,1,2,FIFA World Cup qualification,False
2011-03-15,USA,Belgium,0,1,FIFA World Cup qualification,False
2011-03-17,USA,Portugal,3,2,FIFA World Cup qualification,False
2011-03-19,USA,Brazil,0,0,FIFA World Cup qualification,False
2011-03-21,USA,England,2,1,FIFA World Cup qualification,False
2011-03-23,USA,France,1,1,FIFA World Cup qualification,False
2011-03-25,USA,South Korea,2,0,FIFA World Cup qualification,False
2011-03-27,USA,Croatia,3,4,FIFA World Cup qualification,False
2011-03-29,USA,Argentina,0,2,FIFA World Cup qualification,False
2011-03-31,Uruguay,Nigeria,2,3,FIFA World Cup qualification,False
2011-04-02,Uruguay,Spain,2,0,FIFA World Cup qualification,False
2011-04-04,Uruguay,Netherlands,1,1,FIFA World Cup qualification,False
2011-04-06,Uruguay,Mexico,0,0,FIFA World Cup qualification,False
2011-04-08,Uruguay,Germany,1,2,FIFA World Cup qualification,False
2011-04-10,Uruguay,Japan,1,3,FIFA World Cup qualification,False
2011-04-12,Uruguay,Belgium,1,2,FIFA World Cup qualification,False
2011-04-14,Uruguay,Portugal,1,1,FIFA World Cup qualification,False
2011-04-16,Uruguay,Brazil,0,2,FIFA World Cup qualification,False
2011-04-18,Uruguay,England,1,1,FIFA World Cup qualification,False
2011-04-20,Uruguay,France,3,1,FIFA World Cup qualification,False
2011-04-22,Uruguay,South Korea,0,1,FIFA World Cup qualification,False
2011-04-24,Uruguay,Croatia,3,1,FIFA World Cup qualification,False
2011-04-26,Uruguay,Argentina,0,1,FIFA World Cup qualification,False
2011-04-28,Nigeria,Spain,0,6,FIFA World Cup qualification,False
2011-04-30,Nigeria,Netherlands,0,3,FIFA World Cup qualification,False
2011-05-02,Nigeria,Mexico,1,2,FIFA World Cup qualification,False
2011-05-04,Nigeria,Germany,1,1,FIFA World Cup qualification,False
2011-05-06,Nigeria,Japan,1,2,FIFA World Cup qualification,False
2011-05-08,Nigeria,Belgium,1,0,FIFA World Cup qualification,False
2011-05-10,Nigeria,Portugal,0,0,FIFA World Cup qualification,False
2011-05-12,Nigeria,Brazil,1,3,FIFA World Cup qualification,False
2011-05-14,Nigeria,England,3,0,FIFA World Cup qualification,False
2011-05-16,Nigeria,France,2,3,FIFA World Cup qualification,False
2011-05-18,Nigeria,South Korea,1,2,FIFA World Cup qualification,False
2011-05-20,Nigeria,Croatia,0,5,FIFA World Cup qualification,False
2011-05-22,Nigeria,Argentina,1,0,FIFA World Cup qualification,False
2011-05-24,Spain,Netherlands,2,2,FIFA World Cup qualification,False
2011-05-26,Spain,Mexico,2,1,FIFA World Cup qualification,False
2011-05-28,Spain,Germany,2,0,FIFA World Cup qualification,False
2011-05-30,Spain,Japan,2,0,FIFA World Cup qualification,False
2011-06-01,Spain,Belgium,1,1,FIFA World Cup qualification,False
2011-06-03,Spain,Portugal,0,1,FIFA World Cup qualification,False
2011-06-05,Spain,Brazil,0,0,FIFA World Cup qualification,False
2011-06-07,Spain,England,0,0,FIFA World Cup qualification,False
2011-06-09,Spain,France,0,0,FIFA World Cup qualification,False
2011-06-11,Spain,South Korea,0,1,FIFA World Cup qualification,False
2011-06-13,Spain,Croatia,1,3,FIFA World Cup qualification,False
2011-06-15,Spain,Argentina,0,0,FIFA World Cup qualification,False
2011-06-17,Netherlands,Mexico,2,0,FIFA World Cup qualification,False
2011-06-19,Netherlands,Germany,1,0,FIFA World Cup qualification,False
2011-06-21,Netherlands,Japan,1,1,FIFA World Cup qualification,False
2011-06-23,Netherlands,Belgium,7,1,FIFA World Cup qualification,False
2011-06-25,Netherlands,Portugal,2,1,FIFA World Cup qualification,False
2011-06-27,Netherlands,Brazil,0,1,FIFA World Cup qualification,False
2011-06-29,Netherlands,England,1,1,FIFA World Cup qualification,False
2011-07-01,Netherlands,France,2,3,FIFA World Cup qualification,False
2011-07-03,Netherlands,South Korea,5,0,FIFA World Cup qualification,False
2011-07-05,Netherlands,Croatia,1,2,FIFA World Cup qualification,False
2011-07-07,Netherlands,Argentina,1,1,FIFA World Cup qualification,False
2011-07-09,Mexico,Germany,1,6,FIFA World Cup qualification,False
2011-07-11,Mexico,Japan,1,1,FIFA World Cup qualification,False
2011-07-13,Mexico,Belgium,2,3,FIFA World Cup qualification,False
2011-07-15,Mexico,Portugal,2,0,FIFA World Cup qualification,False
2011-07-17,Mexico,Brazil,0,3,FIFA World Cup qualification,False
2011-07-19,Mexico,England,2,1,FIFA World Cup qualification,False
2011-07-21,Mexico,France,1,0,FIFA World Cup qualification,False
2011-07-23,Mexico,South Korea,3,3,FIFA World Cup qualification,False
2011-07-25,Mexico,Croatia,4,2,FIFA World Cup qualification,False
2011-07-27,Mexico,Argentina,2,2,FIFA World Cup qualification,False
2011-07-29,Germany,Japan,2,2,FIFA World Cup qualification,False
2011-07-31,Germany,Belgium,4,3,FIFA World Cup qualification,False
2011-08-02,Germany,Portugal,1,0,FIFA World Cup qualification,False
2011-08-04,Germany,Brazil,0,1,FIFA World Cup qualification,False
2011-08-06,Germany,England,2,0,FIFA World Cup qualification,False
2011-08-08,Germany,France,0,2,FIFA World Cup qualification,False
2011-08-10,Germany,South Korea,1,3,FIFA World Cup qualification,False
2011-08-12,Germany,Croatia,1,0,FIFA World Cup qualification,False
2011-08-14,Germany,Argentina,0,2,FIFA World Cup qualification,False
2011-08-16,Japan,Belgium,1,1,FIFA World Cup qualification,False
2011-08-18,Japan,Portugal,0,3,FIFA World Cup qualification,False
2011-08-20,Japan,Brazil,1,2,FIFA World Cup qualification,False
2011-08-22,Japan,England,0,2,FIFA World Cup qualification,False
2011-08-24,Japan,France,2,0,FIFA World Cup qualification,False
2011-08-26,Japan,South Korea,2,3,FIFA World Cup qualification,False
2011-08-28,Japan,Croatia,1,1,FIFA World Cup qualification,False
2011-08-30,Japan,Argentina,0,1,FIFA World Cup qualification,False
2011-09-01,Belgium,Portugal,2,1,FIFA World Cup qualification,False
2011-09-03,Belgium,Brazil,0,1,FIFA World Cup qualification,False
2011-09-05,Belgium,England,0,1,FIFA World Cup qualification,False
2011-09-05,Germany,Portugal,3,2,Friendly,False
2011-09-07,Belgium,France,0,2,FIFA World Cup qualification,False
2011-09-08,USA,France,0,4,Friendly,False
2011-09-09,Belgium,South Korea,3,1,FIFA World Cup qualification,False
2011-09-11,Belgium,Croatia,2,3,FIFA World Cup qualification,False
2011-09-11,Croatia,Spain,1,0,Friendly,False
2011-09-13,Belgium,Argentina,2,2,FIFA World Cup qualification,False
2011-09-14,England,Nigeria,6,0,Friendly,False
2011-09-15,Portugal,Brazil,0,1,FIFA World Cup qualification,False
2011-09-17,Portugal,England,1,0,FIFA World Cup qualification,False
2011-09-17,Japan,South Korea,2,2,Friendly,False
2011-09-19,Portugal,France,1,0,FIFA World Cup qualification,False
2011-09-20,Netherlands,Uruguay,3,1,Friendly,False
2011-09-21,Portugal,South Korea,3,1,FIFA World Cup qualification,False
2011-09-23,Portugal,Croatia,4,2,FIFA World Cup qualification,False
2011-09-23,Argentina,Belgium,2,1,Friendly,False
2011-09-25,Portugal,Argentina,1,0,FIFA World Cup qualification,False
2011-09-26,Mexico,Brazil,1,0,Friendly,False
2011-09-27,Brazil,England,1,0,FIFA World Cup qualification,False
2011-09-29,Brazil,France,5,1,FIFA World Cup qualification,False
2011-10-01,Brazil,South Korea,0,1,FIFA World Cup qualification,False
2011-10-03,Brazil,Croatia,1,0,FIFA World Cup qualification,False
2011-10-05,Brazil,Argentina,1,0,FIFA World Cup qualification,False
2011-10-07,England,France,1,2,FIFA World Cup qualification,False
2011-10-09,England,South Korea,3,2,FIFA World Cup qualification,False
2011-10-11,England,Croatia,2,3,FIFA World Cup qualification,False
2011-10-13,England,Argentina,2,1,FIFA World Cup qualification,False
